ID,Form_ID,Coding_Frame_ID,Example_IDs
1,indo1316-load-1,4783041186,indo1316-55
2,indo1316-put-1,6172675768,indo1316-42
3,indo1316-pour-1,4783041186,indo1316-56
4,indo1316-throw-1,4783041186,indo1316-40
5,indo1316-get-obtain-1,6171973400,indo1316-138
6,indo1316-wipe-1,6171973400,indo1316-98
7,indo1316-touch-1,6171973400,indo1316-62
8,indo1316-beat-1,6171973400,indo1316-63
9,indo1316-die-1,6225257568,indo1316-64
10,indo1316-build-1,6171973400,indo1316-66;indo1316-16
11,indo1316-say-1,6225279937,indo1316-67
12,indo1316-shout-at-1,6225257568,indo1316-54
13,indo1316-tell-1,6225288433,indo1316-68
14,indo1316-know-1,6171973400,indo1316-69
15,indo1316-look-at-1,6171973400,indo1316-70
16,indo1316-fear-1,6171973400,indo1316-71
17,indo1316-like-1,6171973400,indo1316-72
18,indo1316-search-for-1,6171973400,indo1316-73
19,indo1316-meet-1,6171973400,indo1316-74
20,indo1316-follow-1,6171973400,indo1316-75;indo1316-150
21,indo1316-eat-1,6171973400,indo1316-76
22,indo1316-cough-1,6225257568,indo1316-79
23,indo1316-sit-1,6225561761,indo1316-80
24,indo1316-run-1,6225257568,indo1316-81
25,indo1316-jump-1,6225257568,indo1316-82
26,indo1316-appear-1,6225561761,indo1316-85
27,indo1316-be-ill-1,6225257568,indo1316-86
28,indo1316-fall-1,6225257568,indo1316-87
29,indo1316-be-cold-1,6225257568,indo1316-88;indo1316-157
30,indo1316-be-hungry-1,6225257568,indo1316-89
31,indo1316-rain-1,6225618071,indo1316-19
32,indo1316-cry-1,6225257568,indo1316-18
33,indo1316-roll-1,6225257568,indo1316-91
34,indo1316-sink-1,6225257568,indo1316-93
35,indo1316-be-dry-1,6225257568,indo1316-94
36,indo1316-be-a-hunter-1,6225257568,indo1316-95
37,indo1316-be-sad-1,6225257568,indo1316-96
38,indo1316-show-1,4783041186,indo1316-103
39,indo1316-steal-2,6225672924,indo1316-104
40,indo1316-touch-2,6171973400,indo1316-105
41,indo1316-hit-2,6171973400,indo1316-106
42,indo1316-kill-1,6171973400,indo1316-107
43,indo1316-break-2,6171973400,indo1316-108;indo1316-162
44,indo1316-ask-for-1,6171973400,indo1316-111
45,indo1316-help-2,6171973400,indo1316-113
46,indo1316-climb-1,6171973400,indo1316-114
47,indo1316-jump-2,6225257568,indo1316-115
48,indo1316-appear-2,6225257568,indo1316-116
49,indo1316-wash-2,6171973400,indo1316-117
50,indo1316-touch-3,6171973400,indo1316-118
51,indo1316-cook-1,6171973400,indo1316-120
52,indo1316-grind-1,6171973400,indo1316-122
53,indo1316-hear-1,6171973400,indo1316-123
54,indo1316-hug-1,6171973400,indo1316-124
55,indo1316-laugh-1,6225257568,indo1316-125
56,indo1316-peel-1,6171973400,indo1316-127
57,indo1316-want-1,6171973400,indo1316-133
58,chhi1245-feel-pain-1,6536020144,chhi1245-90
59,icel1247-cover-2,4781395547,icel1247-3
60,icel1247-eat-1,4781499904,icel1247-4
61,icel1247-hug-1,4781499904,icel1247-5
62,icel1247-look-at-1,4781522458,icel1247-6
63,icel1247-look-at-2,4781522458,icel1247-7
64,icel1247-see-1,4781499904,icel1247-8
65,icel1247-smell-1,4808916071,icel1247-9
66,icel1247-fear-1,4781763138,icel1247-10
67,icel1247-frighten-1,4781499904,icel1247-11
68,icel1247-like-1,4781771801,icel1247-12
69,icel1247-know-1,4781499904,icel1247-14
70,icel1247-search-for-1,4781833472,icel1247-15
71,icel1247-think-1,4781863756,icel1247-16
72,icel1247-wash-1,4781880751,icel1247-17
73,icel1247-dress-1,4781888826,icel1247-19
74,icel1247-shave-a-body-part_person-1,4781499904,icel1247-20
75,icel1247-help-1,4781880751,icel1247-21
76,icel1247-follow-1,4781499904,icel1247-22
77,icel1247-follow-2,4781880751,icel1247-23
78,icel1247-meet-1,4781499904,icel1247-25
79,icel1247-talk-1,4333019405,icel1247-27
80,icel1247-ask-for-1,4782020736,icel1247-28
81,icel1247-shout-at-1,4781522458,icel1247-29
82,icel1247-say-1,4333034006,icel1247-31
83,icel1247-name-1,4782372131,icel1247-33
84,icel1247-name-2,4782372131,icel1247-32
85,icel1247-build-1,4782382762,icel1247-34
86,icel1247-break-1,4782397674,icel1247-35
87,icel1247-kill-1,4782397674,icel1247-37
88,icel1247-kill-2,4782397674,icel1247-38
89,icel1247-beat-1,4782397674,icel1247-40
90,icel1247-hit-1,4782397674,icel1247-41
91,icel1247-touch-1,4781499904,icel1247-42
92,icel1247-cut-1,4782397674,icel1247-43
93,icel1247-cut-2,4781499904,icel1247-44
94,icel1247-tear-1,4782382762,icel1247-45
95,icel1247-peel-1,4781546520,icel1247-46;icel1247-48
96,icel1247-hide-1,4782441781,icel1247-49
97,icel1247-show-1,4782463794,icel1247-50
98,icel1247-give-1,4782463794,icel1247-51
99,icel1247-give-2,4782463794,icel1247-52
100,icel1247-carry-1,4781364732,icel1247-56
101,icel1247-tie-1,4782582333,icel1247-58
102,icel1247-fill-1,4782645899,icel1247-62
103,icel1247-load-1,4782652132,icel1247-63
104,icel1247-run-1,4782666572,icel1247-70
105,icel1247-jump-1,4782666572,icel1247-73
106,icel1247-go-1,4782700699,icel1247-76
107,icel1247-leave-1,4781499904,icel1247-77
108,icel1247-live-1,4782723644,icel1247-78
109,icel1247-laugh-1,4782666572,icel1247-79;icel1247-331
110,icel1247-feel-pain-1,4782744071,icel1247-81
111,icel1247-scream-1,4782666572,icel1247-82
112,icel1247-dream-1,4782758310,icel1247-84
113,icel1247-feel-cold-1,4782769693,icel1247-85
114,icel1247-die-1,4782666572,icel1247-86
115,icel1247-play-1,4782666572,icel1247-87
116,icel1247-be-sad-1,4782666572,icel1247-88
117,icel1247-be-hungry-1,4782666572,icel1247-89
118,icel1247-be-hungry-2,4782734068,icel1247-90
119,icel1247-roll-1,4782666572,icel1247-91;icel1247-333
120,icel1247-sink-1,4782666572,icel1247-93
121,icel1247-burn-1,4782666572,icel1247-96;icel1247-215
122,icel1247-be-dry-1,4782666572,icel1247-98
123,icel1247-rain-1,4808496980,icel1247-99
124,icel1247-steal-1,4808501465,icel1247-101
125,icel1247-hear-1,4782723644,icel1247-102
126,icel1247-be-ill-1,4782666572,icel1247-105
127,icel1247-feel-sick-1,4782769693,icel1247-106
128,icel1247-get-1,4808529404,icel1247-107
129,icel1247-propose-a-marriage-1,4808536204,icel1247-108
130,icel1247-long-for-1,4808541111,icel1247-109
131,icel1247-make-ones-presence-known-1,4808555050,icel1247-114
132,ital1282-see-1,4298676080,ital1282-34
133,ital1282-hug-1,4298676080,ital1282-94
134,ital1282-look-at-1,4298676080,ital1282-99
135,ital1282-smell-1,4298676080,ital1282-93
136,ital1282-fear-1,4298676080,ital1282-82
137,ital1282-frighten-1,4298676080,ital1282-44
138,ital1282-like-1,4301873762,ital1282-6
139,ital1282-know-1,4298676080,ital1282-161
140,ital1282-think-1,4301902544,ital1282-508
