ID,Form_ID,Alternation_ID,Alternation_Occurs,Comment,Derived_Code_Frame_ID,Example_IDs
92559,jakarta-indonesian-cover-1,2536502674,Never,,,
93144,jakarta-indonesian-cover-1,2536565802,Regularly,,,
93408,jakarta-indonesian-cover-1,2536611442,Regularly,,,jakarta-indonesian-5
92516,jakarta-indonesian-cover-1,2536636707,Regularly,,,jakarta-indonesian-26
93672,jakarta-indonesian-cover-1,2536679091,Never,,,
93936,jakarta-indonesian-cover-1,2536862557,Never,,,
93021,jakarta-indonesian-cover-1,2536890892,Never,,,
94203,jakarta-indonesian-cover-1,2536965941,Never,,,
94291,jakarta-indonesian-cover-1,2537041837,Never,,,
92527,jakarta-indonesian-cover-1,2537065358,Regularly,,,jakarta-indonesian-36;jakarta-indonesian-185
94467,jakarta-indonesian-cover-1,2537076434,Regularly,,,
94555,jakarta-indonesian-cover-1,2537123503,Regularly,,,
94643,jakarta-indonesian-cover-1,2537138692,Regularly,,,
94732,jakarta-indonesian-cover-1,2537173482,Never,,,
94821,jakarta-indonesian-cover-1,2537254508,Never,,,
94999,jakarta-indonesian-cover-1,2537323387,Never,,,
95088,jakarta-indonesian-cover-1,2537337702,Never,,,
95177,jakarta-indonesian-cover-1,2537355086,Never,,,
95266,jakarta-indonesian-cover-1,2537383264,Never,,,
92766,jakarta-indonesian-cover-1,2537388843,Regularly,,,
95359,jakarta-indonesian-cover-1,2597386238,Never,,,
115044,jakarta-indonesian-cover-1,11229214737,Regularly,,,jakarta-indonesian-3
115147,jakarta-indonesian-cover-1,11229595746,Never,,,
115326,jakarta-indonesian-cover-1,11230050459,Never,,,
92560,jakarta-indonesian-load-1,2536502674,Never,,,
93145,jakarta-indonesian-load-1,2536565802,Regularly,,,
93409,jakarta-indonesian-load-1,2536611442,Regularly,,,
93496,jakarta-indonesian-load-1,2536636707,Regularly,,,
93673,jakarta-indonesian-load-1,2536679091,Regularly,,,
93937,jakarta-indonesian-load-1,2536862557,Regularly,,,
93022,jakarta-indonesian-load-1,2536890892,Regularly,,,
94204,jakarta-indonesian-load-1,2536965941,Never,,,
94292,jakarta-indonesian-load-1,2537041837,Regularly,,,
94379,jakarta-indonesian-load-1,2537065358,Never,,,
94468,jakarta-indonesian-load-1,2537076434,Never,,,
94556,jakarta-indonesian-load-1,2537123503,Never,,,
94644,jakarta-indonesian-load-1,2537138692,Never,,,
94733,jakarta-indonesian-load-1,2537173482,Never,"<SPAN STYLE= """" >used as the basic form</SPAN>",,
94822,jakarta-indonesian-load-1,2537254508,Never,,,
95000,jakarta-indonesian-load-1,2537323387,Never,,,
95089,jakarta-indonesian-load-1,2537337702,Never,,,
95178,jakarta-indonesian-load-1,2537355086,Never,,,
95267,jakarta-indonesian-load-1,2537383264,Never,,,
92767,jakarta-indonesian-load-1,2537388843,Regularly,,,
95360,jakarta-indonesian-load-1,2597386238,Regularly,,,
115045,jakarta-indonesian-load-1,11229214737,Never,,,
115148,jakarta-indonesian-load-1,11229595746,Never,,,
115327,jakarta-indonesian-load-1,11230050459,Never,,,
92531,jakarta-indonesian-put-1,2536502674,Never,,,
92533,jakarta-indonesian-put-1,2536565802,Regularly,,,
92536,jakarta-indonesian-put-1,2536611442,Marginally,,,
92537,jakarta-indonesian-put-1,2536636707,Never,,,
92539,jakarta-indonesian-put-1,2536679091,Never,,,
92542,jakarta-indonesian-put-1,2536862557,Never,,,
92543,jakarta-indonesian-put-1,2536890892,Never,,,
92546,jakarta-indonesian-put-1,2536965941,Never,,,
92547,jakarta-indonesian-put-1,2537041837,Never,,,
92548,jakarta-indonesian-put-1,2537065358,Never,,,
92549,jakarta-indonesian-put-1,2537076434,Never,,,
92550,jakarta-indonesian-put-1,2537123503,Never,,,
92530,jakarta-indonesian-put-1,2537138692,Regularly,,,jakarta-indonesian-39
94734,jakarta-indonesian-put-1,2537173482,Never,,,
94823,jakarta-indonesian-put-1,2537254508,Never,,,
95001,jakarta-indonesian-put-1,2537323387,Never,,,
95090,jakarta-indonesian-put-1,2537337702,Never,,,
95179,jakarta-indonesian-put-1,2537355086,Never,,,
95268,jakarta-indonesian-put-1,2537383264,Never,,,
92768,jakarta-indonesian-put-1,2537388843,Never,,,
95361,jakarta-indonesian-put-1,2597386238,Never,,,
115046,jakarta-indonesian-put-1,11229214737,Never,,,
