ID,Language_ID,Coding_Frame_Schema,Description,Comment,Derived
4867893054,even,1-nom 2-acc 3-abl V.subj[1],,,Basic
4867943104,even,1-nom V.subj[1],,,Basic
4867975791,even,1-nom 2-all V.subj[1],,,Basic
4867985804,even,1-nom 2-acc 3-dat V.subj[1],,,Basic
4868002621,even,1-nom 2-acc 3-instr V.subj[1],,,Basic
4868060585,even,1-nom 2-acc V.subj[1],,,Basic
4868175860,even,1-nom 2-acc 3-loc V.subj[1],,,Basic
4868320170,even,1-nom 2-instr V.subj[1],,,Basic
4868463105,even,1-nom 2-loc V.subj[1],,,Basic
4868856329,even,1-nom 2-abl V.subj[1],,,Basic
4869819450,even,1-nom 2-all 3-prol V.subj[1],,,Basic
4869892183,even,1-nom 2-acc 3-all V.subj[1],,,Basic
5234890587,even,1-gen 2-nom V.subj[2],,,Basic
7980937751,even,1&2-nom recV'.subj[1&2],,,Derived
7981097438,even,2-nom medV'.subj[2],,,Derived
7981266393,even,2-nom 1-dat advV'.subj[2],,,Derived
7981371512,even,1-nom V'.subj[1],,,Derived
7981423947,even,1-nom 2-com V'.subj[1],,,Derived
7981506985,even,1-nom resV'.subj[1],,,Derived
7981525570,even,2-nom resV'.subj[2],,,Derived
8620399287,even,1&3-nom 2-acc recV'.subj[1&3],,,Derived
8620469029,even,1&2-nom 3-instr recV'.subj[1&2],,,Derived
8620620888,even,2-nom 3-abl medV'.subj[2],,,Derived
8620744094,even,1&3-nom 2-all V'.subj[1&3],,,Derived
8620807411,even,2-nom 3-all medV'.subj[2],,,Derived
8620809937,even,2-nom 3-dat medV'.subj[2],,,Derived
8620812867,even,2-nom 3-instr medV'.subj[2],,,Derived
8620816801,even,2-nom 3-loc medV'.subj[2],,,Derived
8620837691,even,2-nom 1-dat 3-abl advV'.subj[2],,,Derived
8620843459,even,2-nom 1-dat 3-instr advV'.subj[2],,,Derived
8620846154,even,2-nom 1-dat 3-loc advV'.subj[2],,,Derived
8620852635,even,2-nom 3-abl resV'.subj[2],,,Derived
8620857288,even,2-nom 3-instr resV'.subj[2],,,Derived
8620860570,even,2-nom 3-loc resV'.subj[2],,,Derived
8620862951,even,1-nom 2-loc resV'.subj[1],,,Derived
8654689090,even,1&2-nom 3-abl recV'.subj[1&2],,,Derived
