ID,Name,Parameter_ID,Role_Letter,Original_Or_New,Name_For_URL
coverer,coverer,cover,A,Original role,coverer
covered-thing,covered thing,cover,P,Original role,covered-thing
cover,cover,cover,X,Original role,cover
cover-beneficiary,cover-beneficiary,cover,,New role,cover-beneficiary
cover-causer,cover causer,cover,,New role,cover-causer
cover-instrument,cover instrument,cover,,New role,cover-instrument
filler,filler,fill,A,Original role,filler
filled-container,filled container,fill,P,Original role,filled-container
filling-material,filling material,fill,X,Original role,filling-material
fill-causer,fill causer,fill,,New role,fill-causer
fill-beneficiary,fill beneficiary,fill,,New role,fill-beneficiary
loader,loader,load,A,Original role,loader
loaded-thing,loaded thing,load,T,Original role,loaded-thing
loading-place,loading place,load,L,Original role,loading-place
load-beneficiary,load beneficiary,load,,New role,load-beneficiary
load-causer,load causer,load,,New role,load-causer
tier,tier,tie,A,Original role,tier
tied-thing,tied thing,tie,P,Original role,tied-thing
tying-goal,tying goal,tie,L,Original role,tying-goal
tying-instrument,tying instrument,tie,I,Original role,tying-instrument
tie-beneficiary,tie beneficiary,tie,,New role,tie-beneficiary
tie-causer,tie causer,tie,,New role,tie-causer
pourer,pourer,pour,A,Original role,pourer
poured-substance,poured substance,pour,T,Original role,poured-substance
pouring-goal,pouring goal,pour,L,Original role,pouring-goal
pouring-source,pouring source,pour,F,New role,pouring-source
pour-beneficiary,pour beneficiary,pour,,New role,pour-beneficiary
pour-causer,pour causer,pour,,New role,pour-causer
putter,putter,put,A,Original role,putter
put-thing,put thing,put,T,Original role,put-thing
putting-goal,putting goal,put,L,Original role,putting-goal
put-beneficiary,put beneficiary,put,,New role,put-beneficiary
put-causer,put causer,put,,New role,put-causer
thrower,thrower,throw,A,Original role,thrower
thrown-thing,thrown thing,throw,T,Original role,thrown-thing
throwing-goal,throwing goal,throw,L,Original role,throwing-goal
throw-beneficiary,throw beneficiary,throw,,New role,throw-beneficiary
throw-causer,throw causer,throw,,New role,throw-causer
bringer,bringer,bring,A,Original role,bringer
brought-thing,brought thing,bring,T,Original role,brought-thing
