ID,Form_ID,Coding_Frame_ID,Microrole_IDs
zenz1235-go-1-4333118670,zenz1235-go-1,4333118670,goer;going-goal
yaqu1251-sink-1-4844692082,yaqu1251-sink-1,4844692082,sunken-entity
hoch1243-give-1-7375733366,hoch1243-give-1,7375733366,giver;gift;giving-recipient;give-causer
hoch1243-help-1-7375771884,hoch1243-help-1,7375771884,helper;helpee;help-causer
hoch1243-tear-1-7375771884,hoch1243-tear-1,7375771884,tearer;torn-thing;tear-causer
hoch1243-tear-1-7375805159,hoch1243-tear-1,7375805159,tearer;torn-thing;tearing-source
hoch1243-cover-1-7375805159,hoch1243-cover-1,7375805159,coverer;covered-thing;cover-beneficiary
hoch1243-cover-1-7375771884,hoch1243-cover-1,7375771884,coverer;covered-thing;cover-causer
hoch1243-steal-1-7375805159,hoch1243-steal-1,7375805159,stealer;stolen-thing;stealing-source
hoch1243-steal-1-7375771884,hoch1243-steal-1,7375771884,stealer;stolen-thing;steal-causer
hoch1243-wipe-1-7375805159,hoch1243-wipe-1,7375805159,wiper;wiping-surface;wipe-beneficiary
hoch1243-cut-1-7375805159,hoch1243-cut-1,7375805159,cutter;cut-thing;cut-beneficiary
hoch1243-think-1-7375771884,hoch1243-think-1,7375771884,thinker;thought-content;think-causer
hoch1243-think-1-7375805159,hoch1243-think-1,7375805159,thinker;thought-content;think-beneficiary
hoch1243-tell-1-7375771884,hoch1243-tell-1,7375771884,teller;told-content;tell-causer
hoch1243-tell-1-7375805159,hoch1243-tell-1,7375805159,teller;tellee;told-content
hoch1243-cover-1-7418121311,hoch1243-cover-1,7418121311,coverer;covered-thing;cover
hoch1243-hide-1-7375771884,hoch1243-hide-1,7375771884,hider;hide-causer;hidden-thing
hoch1243-hide-1-7375805159,hoch1243-hide-1,7375805159,hider;hidden-thing;hiding-affectee
hoch1243-touch-1-7375771884,hoch1243-touch-1,7375771884,toucher;touchee;touch-causer
hoch1243-cook-1-7418121311,hoch1243-cook-1,7418121311,cooker;cooked-food;cooking-instrument
hoch1243-tear-1-7418121311,hoch1243-tear-1,7418121311,tearer;torn-thing;tear-instrument
hoch1243-wipe-1-7418121311,hoch1243-wipe-1,7418121311,wiper;wiped-material;wiping-surface
hoch1243-cut-1-7375771884,hoch1243-cut-1,7375771884,cutter;cut-thing;cutting-causer
hoch1243-cut-1-7418121311,hoch1243-cut-1,7418121311,cutter;cut-thing;cutting-instrument
hoch1243-grind-1-7375771884,hoch1243-grind-1,7375771884,grinder;ground-thing;grind-causer
hoch1243-grind-1-7375805159,hoch1243-grind-1,7375805159,grinder;ground-thing;grind-beneficiary
hoch1243-peel-1-7375771884,hoch1243-peel-1,7375771884,peeler;peeled-object;peel-causer
hoch1243-peel-1-7375805159,hoch1243-peel-1,7375805159,peeler;peeled-object;peel-beneficiary
hoch1243-dig-1-7375771884,hoch1243-dig-1,7375771884,digger;dig-causer;dug-hole-or-ground
hoch1243-dig-1-7375805159,hoch1243-dig-1,7375805159,digger;dig-beneficiary;dug-hole-or-ground
hoch1243-take-1-7375771884,hoch1243-take-1,7375771884,taker;taken-thing;take-causer
hoch1243-take-1-7375805159,hoch1243-take-1,7375805159,taker;taken-thing;taking-source
hoch1243-look-at-1-7418121311,hoch1243-look-at-1,7418121311,looker;looked-at-entity;look-instrument
hoch1243-fear-1-7375771884,hoch1243-fear-1,7375771884,fearer;fear-stimulus;fear-causer
hoch1243-like-1-7375771884,hoch1243-like-1,7375771884,liker;liked-entity;like-causer
hoch1243-follow-1-7375771884,hoch1243-follow-1,7375771884,follower;followee;follow-causer
hoch1243-follow-1-7375805159,hoch1243-follow-1,7375805159,follower;followee;follow-beneficiary
hoch1243-follow-1-7418121311,hoch1243-follow-1,7418121311,follower;followee;follow-instrument
hoch1243-hug-1-7375771884,hoch1243-hug-1,7375771884,hugger;huggee;hug-causer
hoch1243-eat-1-7375805159,hoch1243-eat-1,7375805159,eater;eaten-food;eat-beneficiary
hoch1243-eat-1-7418121311,hoch1243-eat-1,7418121311,eater;eaten-food;eating-instrument
hoch1243-appear-1-7374867684,hoch1243-appear-1,7374867684,appearer;appear-causer
hoch1243-wash-1-7375771884,hoch1243-wash-1,7375771884,washer;washed-entity;wash-causer
hoch1243-wash-1-7375805159,hoch1243-wash-1,7375805159,washer;washed-entity;wash-beneficiary
hoch1243-wash-1-7418121311,hoch1243-wash-1,7418121311,washer;washed-entity;washing-instrument
hoch1243-climb-1-7375771884,hoch1243-climb-1,7375771884,climber;climbing-goal;climb-causer
hoch1243-climb-1-7375805159,hoch1243-climb-1,7375805159,climber;climbing-goal;climb-beneficiary
hoch1243-climb-1-7418121311,hoch1243-climb-1,7418121311,climber;climbing-goal;climb-instrument
hoch1243-jump-1-7374867684,hoch1243-jump-1,7374867684,jumper;jump-causer
hoch1243-sing-1-7375771884,hoch1243-sing-1,7375771884,singer;song;sing-causer
hoch1243-sing-1-7375805159,hoch1243-sing-1,7375805159,singer;song;sung-to-person
hoch1243-tie-1-7375771884,hoch1243-tie-1,7375771884,tier;tied-thing;tie-causer
hoch1243-tie-1-7375805159,hoch1243-tie-1,7375805159,tier;tied-thing;tie-beneficiary
hoch1243-tie-1-7418121311,hoch1243-tie-1,7418121311,tier;tied-thing;tying-instrument
hoch1243-frighten-1-7375771884,hoch1243-frighten-1,7375771884,frightener;frightenee;scare-causer
hoch1243-frighten-1-7375805159,hoch1243-frighten-1,7375805159,frightener;frightenee;frighten-beneficiary
hoch1243-frighten-1-7418121311,hoch1243-frighten-1,7418121311,frightener;frightenee;frightening-thing-or-instr
hoch1243-hear-1-7375771884,hoch1243-hear-1,7375771884,hearer;heard-sound;hear-causer
hoch1243-hear-1-7418121311,hoch1243-hear-1,7418121311,hearer;heard-sound;hear-instrument
hoch1243-want-1-7375771884,hoch1243-want-1,7375771884,wanter;wanted-thing;want-causer
hoch1243-want-1-7375805159,hoch1243-want-1,7375805159,wanter;wanted-thing;want-beneficiary
hoch1243-build-1-7375805159,hoch1243-build-1,7375805159,builder;built-thing;maker;made-thing;make-beneficiary;build-beneficiary
hoch1243-build-1-7418121311,hoch1243-build-1,7418121311,builder;built-thing;building-material;maker;made-thing;making-material
hoch1243-break-1-7375771884,hoch1243-break-1,7375771884,breaker;broken-thing;break-causer
hoch1243-break-1-7375805159,hoch1243-break-1,7375805159,breaker;broken-thing;break-maleficiary
hoch1243-break-1-7418121311,hoch1243-break-1,7418121311,breaker;broken-thing;breaking-instrument
hoch1243-show-1-7375771884,hoch1243-show-1,7375771884,shower;shown-thing;show-causer
hoch1243-show-1-7375805159,hoch1243-show-1,7375805159,shower;shown-thing;showing-addressee
hoch1243-hit-1-7375771884,hoch1243-hit-1,7375771884,hitter;hittee;hit-causer
hoch1243-hit-1-7418121311,hoch1243-hit-1,7418121311,hitter;hittee;hitting-instrument
hoch1243-beat-1-7375771884,hoch1243-beat-1,7375771884,beater;beatee;beat-causer
hoch1243-beat-1-7375805159,hoch1243-beat-1,7375805159,beater;beatee;beat-beneficiary
hoch1243-beat-1-7418121311,hoch1243-beat-1,7418121311,beater;beatee;beating-instrument
